id,userString,pinAttempted,keyPressed,time,time_difference
10058,2aby9,852,0,2017-07-11 18:34:05.555,
10059,2aby9,852,8,2017-07-11 18:34:06.130,575.0
10060,2aby9,852,5,2017-07-11 18:34:06.610,480.0
10061,2aby9,852,2,2017-07-11 18:34:07.218,608.0
10062,2aby9,852,e,2017-07-11 18:34:08.634,1416.0
10064,2aby9,852,8,2017-07-11 18:34:12.650,480.0
10065,2aby9,852,5,2017-07-11 18:34:13.034,384.0
10066,2aby9,852,2,2017-07-11 18:34:13.522,488.0
10067,2aby9,852,e,2017-07-11 18:34:14.362,840.0
10069,2aby9,852,8,2017-07-11 18:34:16.970,576.0
10070,2aby9,852,5,2017-07-11 18:34:17.562,592.0
10071,2aby9,852,2,2017-07-11 18:34:18.146,584.0
10072,2aby9,852,e,2017-07-11 18:34:18.930,784.0
10074,2aby9,852,8,2017-07-11 18:34:21.930,552.0
10075,2aby9,852,5,2017-07-11 18:34:22.482,552.0
10076,2aby9,852,2,2017-07-11 18:34:23.034,552.0
10077,2aby9,852,e,2017-07-11 18:34:23.810,776.0
10079,2aby9,6241,2,2017-07-11 18:34:28.522,760.0
10080,2aby9,6241,4,2017-07-11 18:34:29.058,536.0
10081,2aby9,6241,1,2017-07-11 18:34:29.714,656.0
10082,2aby9,6241,e,2017-07-11 18:34:30.426,712.0
10084,2aby9,6241,2,2017-07-11 18:34:32.810,648.0
10085,2aby9,6241,4,2017-07-11 18:34:33.410,600.0
10086,2aby9,6241,1,2017-07-11 18:34:34.091,681.0
10087,2aby9,6241,e,2017-07-11 18:34:34.890,799.0
10089,2aby9,6241,2,2017-07-11 18:34:37.162,656.0
10090,2aby9,6241,4,2017-07-11 18:34:37.802,640.0
10091,2aby9,6241,1,2017-07-11 18:34:38.442,640.0
10092,2aby9,6241,e,2017-07-11 18:34:39.266,824.0
10094,2aby9,6241,2,2017-07-11 18:34:41.410,633.0
10095,2aby9,6241,4,2017-07-11 18:34:41.970,560.0
10096,2aby9,6241,1,2017-07-11 18:34:42.522,552.0
10097,2aby9,6241,e,2017-07-11 18:34:43.234,712.0
10099,2aby9,4902,9,2017-07-11 18:34:47.027,944.0
10100,2aby9,4902,0,2017-07-11 18:34:47.514,487.0
10101,2aby9,4902,2,2017-07-11 18:34:48.130,616.0
10102,2aby9,4902,e,2017-07-11 18:34:48.778,648.0
10104,2aby9,4902,9,2017-07-11 18:34:50.402,496.0
10105,2aby9,4902,0,2017-07-11 18:34:50.770,368.0
10106,2aby9,4902,2,2017-07-11 18:34:51.210,440.0
10107,2aby9,4902,e,2017-07-11 18:34:51.794,584.0
10109,2aby9,4902,9,2017-07-11 18:34:53.555,457.0
10110,2aby9,4902,0,2017-07-11 18:34:53.914,359.0
10111,2aby9,4902,2,2017-07-11 18:34:54.314,400.0
10112,2aby9,4902,e,2017-07-11 18:34:54.906,592.0
10114,2aby9,4902,9,2017-07-11 18:34:56.554,520.0
10115,2aby9,4902,0,2017-07-11 18:34:56.962,408.0
10116,2aby9,4902,2,2017-07-11 18:34:57.403,441.0
10117,2aby9,4902,e,2017-07-11 18:34:57.946,543.0
10119,2aby9,6702,7,2017-07-11 18:35:01.251,432.0
10120,2aby9,6702,0,2017-07-11 18:35:01.826,575.0
10121,2aby9,6702,2,2017-07-11 18:35:02.514,688.0
10122,2aby9,6702,e,2017-07-11 18:35:03.170,656.0
10124,2aby9,6702,7,2017-07-11 18:35:04.395,408.0
10125,2aby9,6702,0,2017-07-11 18:35:04.779,384.0
10126,2aby9,6702,2,2017-07-11 18:35:05.219,440.0
10127,2aby9,6702,e,2017-07-11 18:35:05.738,519.0
10129,2aby9,6702,7,2017-07-11 18:35:07.243,512.0
10130,2aby9,6702,0,2017-07-11 18:35:07.714,471.0
10131,2aby9,6702,2,2017-07-11 18:35:08.259,545.0
10132,2aby9,6702,e,2017-07-11 18:35:08.939,680.0
10134,2aby9,6702,7,2017-07-11 18:35:10.395,449.0
10135,2aby9,6702,0,2017-07-11 18:35:10.843,448.0
10136,2aby9,6702,2,2017-07-11 18:35:11.347,504.0
10137,2aby9,6702,e,2017-07-11 18:35:12.059,712.0
10139,2aby9,1038,0,2017-07-11 18:35:15.179,656.0
10140,2aby9,1038,3,2017-07-11 18:35:15.851,672.0
10141,2aby9,1038,8,2017-07-11 18:35:16.371,520.0
10142,2aby9,1038,e,2017-07-11 18:35:16.882,511.0
10144,2aby9,1038,0,2017-07-11 18:35:18.539,608.0
10145,2aby9,1038,3,2017-07-11 18:35:19.067,528.0
10146,2aby9,1038,8,2017-07-11 18:35:19.547,480.0
10147,2aby9,1038,e,2017-07-11 18:35:20.099,552.0
10149,2aby9,1038,0,2017-07-11 18:35:21.435,560.0
10150,2aby9,1038,3,2017-07-11 18:35:21.923,488.0
10151,2aby9,1038,8,2017-07-11 18:35:22.420,497.0
10152,2aby9,1038,e,2017-07-11 18:35:22.891,471.0
10154,2aby9,1038,0,2017-07-11 18:35:24.339,544.0
10155,2aby9,1038,3,2017-07-11 18:35:24.867,528.0
10156,2aby9,1038,8,2017-07-11 18:35:25.315,448.0
10157,2aby9,1038,e,2017-07-11 18:35:25.795,480.0
10159,2aby9,852,8,2017-07-11 18:35:29.811,656.0
10160,2aby9,852,5,2017-07-11 18:35:30.219,408.0
10161,2aby9,852,2,2017-07-11 18:35:30.803,584.0
10162,2aby9,852,e,2017-07-11 18:35:31.347,544.0
10164,2aby9,852,8,2017-07-11 18:35:32.651,408.0
10165,2aby9,852,5,2017-07-11 18:35:33.051,400.0
10166,2aby9,852,2,2017-07-11 18:35:33.427,376.0
10167,2aby9,852,e,2017-07-11 18:35:33.971,544.0
10169,2aby9,852,8,2017-07-11 18:35:35.203,400.0
10170,2aby9,852,5,2017-07-11 18:35:35.603,400.0
10171,2aby9,852,2,2017-07-11 18:35:36.004,401.0
10172,2aby9,852,e,2017-07-11 18:35:36.659,655.0
10174,2aby9,852,8,2017-07-11 18:35:38.075,512.0
10175,2aby9,852,5,2017-07-11 18:35:38.579,504.0
10176,2aby9,852,2,2017-07-11 18:35:39.283,704.0
10177,2aby9,852,e,2017-07-11 18:35:39.891,608.0
10179,2aby9,6241,2,2017-07-11 18:35:43.036,424.0
10180,2aby9,6241,4,2017-07-11 18:35:43.675,639.0
