id,userString,pinAttempted,keyPressed,time,time_difference
10058,2aby9,852,0,2017-07-11 18:34:05.555,
10059,2aby9,852,8,2017-07-11 18:34:06.130,0.575
10060,2aby9,852,5,2017-07-11 18:34:06.610,0.48
10061,2aby9,852,2,2017-07-11 18:34:07.218,0.608
10062,2aby9,852,e,2017-07-11 18:34:08.634,1.416
10063,2aby9,852,0,2017-07-11 18:34:12.170,3.536
10064,2aby9,852,8,2017-07-11 18:34:12.650,0.48
10065,2aby9,852,5,2017-07-11 18:34:13.034,0.384
10066,2aby9,852,2,2017-07-11 18:34:13.522,0.488
10067,2aby9,852,e,2017-07-11 18:34:14.362,0.84
10068,2aby9,852,0,2017-07-11 18:34:16.394,2.032
10069,2aby9,852,8,2017-07-11 18:34:16.970,0.576
10070,2aby9,852,5,2017-07-11 18:34:17.562,0.592
10071,2aby9,852,2,2017-07-11 18:34:18.146,0.584
10072,2aby9,852,e,2017-07-11 18:34:18.930,0.784
10073,2aby9,852,0,2017-07-11 18:34:21.378,2.448
10074,2aby9,852,8,2017-07-11 18:34:21.930,0.552
10075,2aby9,852,5,2017-07-11 18:34:22.482,0.552
10076,2aby9,852,2,2017-07-11 18:34:23.034,0.552
10077,2aby9,852,e,2017-07-11 18:34:23.810,0.776
10078,2aby9,6241,6,2017-07-11 18:34:27.762,3.952
10079,2aby9,6241,2,2017-07-11 18:34:28.522,0.76
10080,2aby9,6241,4,2017-07-11 18:34:29.058,0.536
10081,2aby9,6241,1,2017-07-11 18:34:29.714,0.656
10082,2aby9,6241,e,2017-07-11 18:34:30.426,0.712
10083,2aby9,6241,6,2017-07-11 18:34:32.162,1.736
10084,2aby9,6241,2,2017-07-11 18:34:32.810,0.648
10085,2aby9,6241,4,2017-07-11 18:34:33.410,0.6
10086,2aby9,6241,1,2017-07-11 18:34:34.091,0.681
10087,2aby9,6241,e,2017-07-11 18:34:34.890,0.799
10088,2aby9,6241,6,2017-07-11 18:34:36.506,1.616
10089,2aby9,6241,2,2017-07-11 18:34:37.162,0.656
10090,2aby9,6241,4,2017-07-11 18:34:37.802,0.64
10091,2aby9,6241,1,2017-07-11 18:34:38.442,0.64
10092,2aby9,6241,e,2017-07-11 18:34:39.266,0.824
10093,2aby9,6241,6,2017-07-11 18:34:40.777,1.511
10094,2aby9,6241,2,2017-07-11 18:34:41.410,0.633
10095,2aby9,6241,4,2017-07-11 18:34:41.970,0.56
10096,2aby9,6241,1,2017-07-11 18:34:42.522,0.552
10097,2aby9,6241,e,2017-07-11 18:34:43.234,0.712
10098,2aby9,4902,4,2017-07-11 18:34:46.083,2.849
10099,2aby9,4902,9,2017-07-11 18:34:47.027,0.944
10100,2aby9,4902,0,2017-07-11 18:34:47.514,0.487
10101,2aby9,4902,2,2017-07-11 18:34:48.130,0.616
10102,2aby9,4902,e,2017-07-11 18:34:48.778,0.648
10103,2aby9,4902,4,2017-07-11 18:34:49.906,1.128
10104,2aby9,4902,9,2017-07-11 18:34:50.402,0.496
10105,2aby9,4902,0,2017-07-11 18:34:50.770,0.368
10106,2aby9,4902,2,2017-07-11 18:34:51.210,0.44
10107,2aby9,4902,e,2017-07-11 18:34:51.794,0.584
10108,2aby9,4902,4,2017-07-11 18:34:53.098,1.304
10109,2aby9,4902,9,2017-07-11 18:34:53.555,0.457
10110,2aby9,4902,0,2017-07-11 18:34:53.914,0.359
10111,2aby9,4902,2,2017-07-11 18:34:54.314,0.4
10112,2aby9,4902,e,2017-07-11 18:34:54.906,0.592
10113,2aby9,4902,4,2017-07-11 18:34:56.034,1.128
10114,2aby9,4902,9,2017-07-11 18:34:56.554,0.52
10115,2aby9,4902,0,2017-07-11 18:34:56.962,0.408
10116,2aby9,4902,2,2017-07-11 18:34:57.403,0.441
10117,2aby9,4902,e,2017-07-11 18:34:57.946,0.543
10118,2aby9,6702,6,2017-07-11 18:35:00.819,2.873
10119,2aby9,6702,7,2017-07-11 18:35:01.251,0.432
10120,2aby9,6702,0,2017-07-11 18:35:01.826,0.575
