id,userString,pinAttempted,keyPressed,time,time_difference
10063,2aby9,852,0,2017-07-11 18:34:12.170,3536.0
10068,2aby9,852,0,2017-07-11 18:34:16.394,2032.0
10073,2aby9,852,0,2017-07-11 18:34:21.378,2448.0
10078,2aby9,6241,6,2017-07-11 18:34:27.762,3952.0
10083,2aby9,6241,6,2017-07-11 18:34:32.162,1736.0
10088,2aby9,6241,6,2017-07-11 18:34:36.506,1616.0
10093,2aby9,6241,6,2017-07-11 18:34:40.777,1511.0
10098,2aby9,4902,4,2017-07-11 18:34:46.083,2849.0
10103,2aby9,4902,4,2017-07-11 18:34:49.906,1128.0
10108,2aby9,4902,4,2017-07-11 18:34:53.098,1304.0
10113,2aby9,4902,4,2017-07-11 18:34:56.034,1128.0
10118,2aby9,6702,6,2017-07-11 18:35:00.819,2873.0
10123,2aby9,6702,6,2017-07-11 18:35:03.987,817.0
10128,2aby9,6702,6,2017-07-11 18:35:06.731,993.0
10133,2aby9,6702,6,2017-07-11 18:35:09.946,1006.9999999999999
10138,2aby9,1038,1,2017-07-11 18:35:14.523,2464.0
10143,2aby9,1038,1,2017-07-11 18:35:17.931,1049.0
10148,2aby9,1038,1,2017-07-11 18:35:20.875,776.0
10153,2aby9,1038,1,2017-07-11 18:35:23.795,904.0
10158,2aby9,852,0,2017-07-11 18:35:29.155,3360.0
10163,2aby9,852,0,2017-07-11 18:35:32.243,896.0
10168,2aby9,852,0,2017-07-11 18:35:34.803,832.0
10173,2aby9,852,0,2017-07-11 18:35:37.563,904.0
10178,2aby9,6241,6,2017-07-11 18:35:42.612,2721.0
10183,2aby9,6241,6,2017-07-11 18:35:45.611,904.0
10188,2aby9,6241,6,2017-07-11 18:35:48.316,817.0
10193,2aby9,6241,6,2017-07-11 18:35:50.835,783.0
10198,2aby9,4902,4,2017-07-11 18:35:54.804,1833.0
10203,2aby9,4902,4,2017-07-11 18:35:57.275,568.0
10208,2aby9,4902,4,2017-07-11 18:35:59.915,648.0
10213,2aby9,4902,4,2017-07-11 18:36:02.835,735.0
10218,2aby9,6702,6,2017-07-11 18:36:06.308,1864.0
10223,2aby9,6702,6,2017-07-11 18:36:08.668,568.0
10228,2aby9,6702,6,2017-07-11 18:36:11.116,568.0
10233,2aby9,6702,6,2017-07-11 18:36:13.548,776.0
10238,2aby9,1038,1,2017-07-11 18:36:16.780,1392.0
10243,2aby9,1038,1,2017-07-11 18:36:19.356,704.0
10248,2aby9,1038,1,2017-07-11 18:36:22.300,1264.0
10253,2aby9,1038,1,2017-07-11 18:36:24.860,864.0
10258,2aby9,852,0,2017-07-11 18:36:39.677,13177.0
10263,2aby9,852,0,2017-07-11 18:36:41.788,528.0
10268,2aby9,852,0,2017-07-11 18:36:43.804,584.0
10273,2aby9,852,0,2017-07-11 18:36:46.036,640.0
10278,2aby9,6241,6,2017-07-11 18:36:49.709,2009.0
10283,2aby9,6241,6,2017-07-11 18:36:52.308,720.0
10288,2aby9,6241,6,2017-07-11 18:36:54.588,696.0
10293,2aby9,6241,6,2017-07-11 18:36:57.652,1519.0
10298,2aby9,4902,4,2017-07-11 18:37:00.989,1753.0
10303,2aby9,4902,4,2017-07-11 18:37:03.693,841.0
10308,2aby9,4902,4,2017-07-11 18:37:05.957,696.0
10313,2aby9,4902,4,2017-07-11 18:37:08.669,832.0
10318,2aby9,6702,6,2017-07-11 18:37:11.917,1480.0
10323,2aby9,6702,6,2017-07-11 18:37:14.277,752.0
10328,2aby9,6702,6,2017-07-11 18:37:16.461,616.0
10333,2aby9,6702,6,2017-07-11 18:37:18.717,696.0
10338,2aby9,1038,1,2017-07-11 18:37:21.525,1328.0
10343,2aby9,1038,1,2017-07-11 18:37:24.069,901.0
10348,2aby9,1038,1,2017-07-11 18:37:26.557,688.0
10353,2aby9,1038,1,2017-07-11 18:37:28.781,648.0
10358,2aby9,8303,8,2017-07-11 18:37:33.101,2848.0
10363,2aby9,8303,8,2017-07-11 18:37:35.221,584.0
10368,2aby9,8303,8,2017-07-11 18:37:37.669,728.0
10373,2aby9,8303,8,2017-07-11 18:37:39.957,680.0
10378,2aby9,5978,5,2017-07-11 18:37:44.837,3312.0
10383,2aby9,5978,5,2017-07-11 18:37:47.581,1216.0
10388,2aby9,5978,5,2017-07-11 18:37:49.805,736.0
10393,2aby9,5978,5,2017-07-11 18:37:52.062,689.0
10398,2aby9,5312,5,2017-07-11 18:37:56.654,2721.0
10403,2aby9,5312,5,2017-07-11 18:37:59.445,928.0
10408,2aby9,5312,5,2017-07-11 18:38:01.957,559.0
10413,2aby9,5312,5,2017-07-11 18:38:04.270,689.0
10418,2aby9,2580,2,2017-07-11 18:38:08.158,2216.0
10423,2aby9,2580,2,2017-07-11 18:38:09.997,543.0
10428,2aby9,2580,2,2017-07-11 18:38:11.790,496.0
10433,2aby9,2580,2,2017-07-11 18:38:13.518,472.0
10438,2aby9,4320,4,2017-07-11 18:38:17.326,2552.0
10443,2aby9,4320,4,2017-07-11 18:38:19.126,440.0
10448,2aby9,4320,4,2017-07-11 18:38:21.694,632.0
10453,2aby9,4320,4,2017-07-11 18:38:23.782,544.0
10458,2aby9,8303,8,2017-07-11 18:38:37.960,12602.0
10463,2aby9,8303,8,2017-07-11 18:38:39.950,416.0
10468,2aby9,8303,8,2017-07-11 18:38:41.926,424.0
10473,2aby9,8303,8,2017-07-11 18:38:43.926,512.0
10478,2aby9,5978,5,2017-07-11 18:38:48.855,3193.0
10483,2aby9,5978,5,2017-07-11 18:38:50.726,376.0
10488,2aby9,5978,5,2017-07-11 18:38:52.502,376.0
10493,2aby9,5978,5,2017-07-11 18:38:54.486,456.0
10498,2aby9,5312,5,2017-07-11 18:38:59.375,3089.0
